hive,t08-06_fbtreat,t08-30_oxatreat,t08-06_ss300,t08-30_ss300,t09-04_ss300,t10-03_ss300,t10-25_ss300,t08-14_cad,t08-30_cad,t09-01_cad,t09-04_cad,t09-05_cad,t09-07_cad,t09-09_cad,t09-12_cad,notes
1C,ctr,oxa,8,57,0,1,9,3,34,800,70,14,13,6,3,
2C,ctr,oxa,9,28,0,1,0,6,13,300,23,5,3,0,2,
3C,ctr,oxa,6,23,0,0,10,7,4,250,14,6,2,2,0,
4C,ctr,oxa,15,48,1,0,8,3,46,900,87,9,2,1,2,
5C,ctr,oxa,31,97,2,2,3,27,223,1500,250,26,12,12,2,
6C,ctr,oxa,10,28,1,1,4,14,9,450,63,16,8,2,2,
7C,ctr,oxa,31,60,0,,,6,57,900,55,8,1,1,2,
8C,ctr,oxa,17,31,0,,,,20,500,41,20,6,,,afb t251 + form
9C,ctr,oxa,16,58,0,3,8,,49,1000,95,14,11,9,2,form
10C,ctr,oxa,10,48,0,1,3,,31,900,47,14,12,18,8,form
11C,ctr,oxa,14,21,0,1,3,8,28,900,50,11,5,1,3,
12C,ctr,oxa,9,16,0,1,,3,8,150,27,4,1,1,1,Orfana 10/25
13C,ctr,oxa,13,2,0,5,5,4,10,200,9,4,3,3,0,
14C,ctr,oxa,13,14,0,4,8,4,44,400,35,7,8,2,0,
15C,ctr,oxa,44,30,0,1,7,6,119,700,65,16,8,0,1,
16BOX,fbox,,35,0,2,13,32,164,7,3,4,0,5,0,15,
17BOX,fbox,,30,2,2,8,62,88,2,6,4,2,4,5,5,
18BOX,fbox,,23,1,3,10,37,81,15,2,3,1,5,6,6,
19BOX,fbox,,9,0,1,8,51,30,0,2,0,1,1,3,8,
20BOX,fbox,,9,0,1,,30,14,6,1,1,3,2,0,1,
21BOX,fbox,,23,1,1,17,52,149,7,1,1,1,3,3,8,
22BOX,fbox,,10,0,1,7,43,6,3,1,0,1,3,3,5,
23BOX,fbox,,16,5,6,4,40,,9,3,2,1,1,3,4,form
24BOX,fbox,,9,0,1,7,49,,1,2,1,1,1,5,7,form
25BOX,fbox,,5,0,2,3,39,,1,6,4,1,4,1,2,form
RE1,,oxa,4,28,1,,,,,300,17,5,0,0,2,
RE2,,oxa,,42,0,,,,,500,33,3,0,0,2,
RE3,,oxa,6,48,0,,,,,1000,120,19,11,4,2,
RE4,,oxa,5,22,0,,,,,450,19,15,5,13,5,
RE5,,oxa,5,31,0,,,,,450,77,8,8,0,4,
RE7,,oxa,,11,1,,,,,70,29,2,1,0,0,
RE10,,oxa,,18,1,,,,,500,65,12,10,3,2,
RE11,,oxa,,30,0,,,,,800,57,13,6,3,4,
RE12,,oxa,28,93,0,,,,,1300,190,30,35,17,5,
RE13,,oxa,40,44,0,,,,,600,74,10,9,5,3,
RE14,,oxa,4,7,0,,,,,300,37,7,5,2,1,
RE17,,oxa,,20,0,,,,,250,45,10,15,7,2,
RE18,,oxa,,78,1,,,,,1300,150,25,14,1,2,
RE19,,oxa,18,10,0,,,,,950,145,27,24,4,12,
RE23,,oxa,0,13,0,,,,,600,15,16,3,2,2,
RE26,,oxa,2,24,0,,,,,650,34,25,4,1,3,
RE27,,oxa,3,8,0,,,,,550,39,4,6,2,3,
RE28,,oxa,4,13,0,,,,,400,28,5,4,1,0,
RE29,,oxa,0,6,0,,,,,100,16,8,4,3,0,formiche
RE30,,oxa,5,18,0,,,,,250,81,9,9,11,5,
RE31,,oxa,5,11,0,,,,,300,57,15,2,7,0,formiche
RE32,,oxa,17,43,0,,,,,600,86,12,5,7,5,
RE34,,oxa,8,65,0,,,,,900,78,14,5,4,3,
RE35,,oxa,4,40,1,,,,,500,60,26,1,6,2,
RE36,,oxa,1,27,1,,,,,400,18,7,4,5,1,
RE37,,oxa,7,9,0,,,,,600,20,16,3,1,2,
RE38,,oxa,4,16,0,,,,,400,13,20,0,1,1,
RE40,,oxa,5,10,0,,,,,450,17,4,7,4,6,
RE42,,oxa,2,25,0,,,,,400,63,18,3,5,3,
RE44,,oxa,9,48,1,,,,,500,100,13,6,5,0,
RE45,,oxa,6,18,0,,,,,350,23,7,0,0,2,
RE46,,oxa,3,31,1,,,,,400,46,9,4,3,2,
RE47,,oxa,5,12,1,,,,,120,2,0,1,3,0,
RE49,,oxa,3,11,1,,,,,150,17,5,2,3,0,
RE50,,oxa,5,11,1,,,,,120,33,11,6,2,1,
RE15-CHI1,,treatx,13,56,0,,0,,,1000,70,15,31,19,10,
RE16-CHI2,,treatx,7,38,0,,0,,,950,63,13,42,15,4,
RE22-CHI5,,treatx,7,28,0,,0,,,900,67,11,10,5,5,
RE24-CHI4,,treatx,10,22,0,,0,,,700,65,29,12,8,8,
RE25-CHI3,,treatx,2,13,0,,1,,,700,53,23,6,5,10,
RE33-CHI6,,treatx,54,74,1,,1,,,2000,55,29,8,4,5,
RE39-CHI7,,treatx,4,23,0,,1,,,500,120,16,10,8,8,
RE41-CHI8,,treatx,8,56,0,,,,,800,25,11,2,3,1,
RE43-CHI9,,treatx,7,18,0,,0,,,600,45,16,3,7,3,
RE48-CHI10,,treatx,17,54,0,,0,,,900,55,21,7,10,3,
